,genre,hash,histmax_b,histmax_g,histmax_r,med_b,med_g,med_r,std_b,std_g,std_r
13,country,72c77ef7-aa04-44b2-ada4-ebb718bf53ac,212,227,236,160.0,198.0,215.0,66.45065236192897,60.564987712551414,61.238857603684934
14,hip-hop,1915dbf5-31f1-486d-891d-9bdc92935cd9,0,0,0,111.0,133.0,152.0,78.38202298596626,87.44706157300143,91.45502349881899
15,hip-hop,55c24dc9-d6bf-4fd6-b306-2b3f40c62927,41,31,43,42.0,32.0,44.0,30.342965480784237,41.250445417153784,43.40069399796809
16,electronic,73bb810c-5d15-45ef-8de9-65e38b1238f6,255,255,255,255.0,255.0,255.0,49.798132649262904,50.06113592297018,40.635087628800605
17,country,32eace38-f6b5-477b-9b6a-6370775ebf7b,39,34,179,39.0,34.0,179.0,49.57370401337403,51.654950769018676,60.33326951990306
18,rock,bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d,78,203,235,69.0,190.0,224.0,27.647048354705497,74.1232618507911,103.08463915347231
19,country,d21770fe-5235-4bba-9289-f8e3c2b39282,254,254,254,126.0,122.0,142.0,95.60135128498374,94.0468666919127,93.67177118147507
20,electronic,f4bf1058-372d-42c2-bcd0-d1a501cf1428,42,40,39,42.0,40.0,39.0,7.541683702936367,7.251674344939657,6.656925502481157
21,country,aae883ce-905d-4b1b-8440-037e4102bf7a,67,127,222,84.0,121.0,184.0,50.55706761531661,52.15574077481343,52.04213832052253
22,rock,6ac5b964-34b5-4609-bfd6-c2aebc5cdebe,0,0,0,130.0,165.0,184.0,73.37255675941016,74.61088754028661,73.30898473489044
23,country,06dac49b-a000-40c6-a4bc-0d9105cbed28,0,0,0,27.0,32.0,29.0,86.41412603949834,80.42981583806801,82.22003207938074
24,electronic,34d4362f-941e-461c-b994-792e0dff242d,255,255,255,98.0,177.0,215.0,70.51469706097598,50.284399191910964,42.19366350837889
25,electronic,af3388d9-3416-4dfc-9453-8927f5b0a0bf,21,24,53,22.0,26.0,58.0,12.61165785507108,17.802349286361057,22.989337549539265
26,rock,e99114cc-85a3-4923-af1d-fab56aebdfd9,8,9,8,25.0,23.0,20.0,80.2199397514248,80.58877384822281,87.48126771038572
27,country,27c5f9be-6b51-4ddc-860f-0ed605e9d836,226,246,247,133.0,127.0,153.0,76.60833411683352,75.73018655574234,68.56256977097063
28,country,9393e707-e105-42b5-aaac-c2a524a7a589,2,7,5,4.0,10.0,7.0,90.75232326754801,90.23715862457328,91.76157730476181
29,pop,17a635c3-c8ec-4dbd-a438-5e540d49e3a3,223,208,156,162.0,182.0,127.0,92.2596767786091,59.28138917098134,56.78021508184962
30,pop,01b387c3-0977-47a4-8def-1aae48b79447,255,71,0,136.0,85.0,47.0,52.48138131517256,65.3883665465509,81.95762704688768
31,electronic,483ac6b2-555f-41ad-9a8c-7ff51e887b5d,1,1,1,14.0,16.0,28.0,34.67133349491271,47.38160429209024,71.4679451485205
32,pop,8121df2b-ef35-434a-87ae-8770373d6469,7,6,6,69.0,91.0,81.0,60.966410917903175,59.54857525745704,78.14016084688845
33,electronic,9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc,188,198,247,118.0,201.0,245.0,62.44846137723888,29.622338922097285,19.347691245565812
34,country,ed107f8d-fcee-496d-bba1-e3191789d6e1,221,219,220,152.0,151.0,161.0,76.20964251618295,76.11974013566898,74.01161448969523
35,hip-hop,cd37f7e0-592e-4da1-852f-1c416aa4cf57,0,6,6,13.0,16.0,19.0,45.721565492531596,58.468888112261,64.09150958529106
36,rock,ea5a35c8-4192-4bd9-af6b-dd244197a8e5,13,17,255,16.0,23.0,114.0,59.75821117982378,59.42578016331956,62.92624471078897
37,electronic,a01c4390-05eb-4192-9f7c-e1a1e5246e96,38,17,18,73.0,42.0,37.0,49.186650713557796,40.357923548407896,35.33812119799806
38,country,65c216a0-1233-4ca4-b033-e17df5489a31,33,27,29,97.0,90.0,95.0,59.59755259966584,59.90164610726487,60.574627592694284
39,rock,c93f8b71-e341-457f-a680-d9b873219619,69,67,55,98.0,96.0,86.0,53.238246565832725,53.89354273323525,57.20290757387998
40,pop,9b88cf3e-4077-4c1b-b5c2-148a7c7066c2,227,227,227,106.0,70.0,68.0,80.85475595568103,81.7893919008685,81.27817587265216
41,electronic,1e400551-b1cc-4077-bc82-844b58ef13b4,20,16,11,48.0,56.0,41.0,59.774410759852216,68.56043989574617,65.5267174990451
42,pop,55b3afe2-c079-42e4-84d5-4a7e5bd4d8bb,14,10,22,65.0,70.0,80.0,49.69831037121339,59.53327003103578,65.18507732762694
43,hip-hop,04949aa9-ed92-4520-a33c-b7b6b4b3f7c6,245,253,255,105.0,125.0,180.0,78.20208644826812,75.4258579381728,51.65738553963969
44,pop,abba4d7c-b9d5-3259-b4d9-fe43a6f23c30,255,255,255,41.0,29.0,176.0,65.92740522968991,70.57722640242882,55.06057735658063
45,country,85989de3-a24d-4f68-b170-9d6631042e45,228,216,215,158.0,175.0,181.0,61.208091456749216,65.86755783258876,74.25243549284605
46,electronic,39790482-0def-4b62-8daf-7cb8051aa71b,17,17,17,17.0,17.0,17.0,80.44120021727919,81.23737919439795,81.67271659668377
47,country,3950d762-f987-46ac-8044-86d90e40dd5d,73,138,217,75.0,137.0,197.0,73.74942398930865,71.74084440021419,84.9015445017391
48,country,d7bd5278-6a18-4542-a1be-34ab59d050b7,34,107,255,48.0,117.0,239.0,62.422141434587125,52.034258601901875,44.15181367469998
49,pop,c7ecf410-d423-4cdd-a97d-1e47104fab8c,29,23,39,36.0,28.0,92.0,43.61881512591098,49.118566489985284,78.93550420898713
50,electronic,79373ec3-88b1-4186-815c-1633b0011f75,87,75,65,85.0,74.0,64.0,21.690604619572593,22.279405180848073,22.325551053551536
51,rock,6692240d-55c2-471f-8b9e-f4b5f575e2d1,255,255,0,80.0,84.0,66.0,81.08893069432736,82.46537968873687,84.65402715707032
52,hip-hop,be4c8191-7b29-4667-98ff-962059c3c486,16,19,18,79.0,82.0,77.0,59.29443488939258,58.7087994878936,60.88579378380661
53,country,808f4d7e-64ab-4e3a-8826-94d46c3451d1,3,254,5,206.0,217.0,209.0,98.91131205827661,100.01236240380294,98.29021120253226
54,rock,cff373a4-a3f5-47f1-9ae2-17f48e96f55a,251,253,254,247.0,240.0,228.0,69.52961155376192,76.99774417224558,84.17303968204774
55,country,f4afbe11-984e-4865-9677-b244dce5c8ed,0,0,0,22.0,21.0,21.0,71.62318210028694,72.09537143426384,71.91074855019201
56,country,08f7953d-4f06-45c5-8b2f-e837c1d0375c,22,29,255,33.0,102.0,188.0,54.066547137360274,74.32299867470095,82.90121342590436
57,electronic,d3080a3d-c41f-4d78-b80e-8d8ab26ac200,0,7,255,68.0,133.0,229.0,70.14927715806787,77.22617136888495,97.76418599741392
58,country,508ff93f-7cef-49e3-a16c-368988860735,199,199,255,139.0,126.0,210.0,50.688032648093014,59.38593232584444,35.473207260130515
59,hip-hop,cc32d408-de18-4a62-a74e-e5f222582d4c,0,1,1,38.0,78.0,137.0,80.63261469973091,81.0070506837127,81.68367694944354
60,pop,4d48cb3e-cb7e-487f-a538-c309bd754877,255,255,255,220.0,218.0,227.0,52.37075667001638,50.06405658503914,35.99605813981548
61,electronic,57172fbc-f0dd-4a14-9e97-d7d366f90e01,254,254,254,205.0,201.0,193.0,76.14801849164412,75.50046065359867,89.85974290575062
62,hip-hop,85d128ea-d0a5-471d-b982-b25664cfaff7,88,25,4,135.0,115.0,123.0,62.97611209587127,70.09649943284803,73.85108531813832
63,country,5b426b12-332e-49cc-a1a3-d921c668d095,52,236,244,87.0,156.0,198.0,65.21449332178496,67.14079164869524,50.07803043409755
64,pop,24a08714-2e03-4798-b739-d9a2cc5bf5f2,224,225,221,120.0,130.0,128.0,72.90843922165817,72.86869344307867,72.25004913259107
65,hip-hop,67ebbc43-0415-4a07-90b9-3f8f8be296eb,0,0,0,4.0,1.0,3.0,57.332682329404406,61.13725128620082,69.0892378932564
66,electronic,2d7f5fd0-1b59-42d4-b9b6-5c9b47f9bb5d,222,176,169,215.0,174.0,150.0,61.99993570049298,47.70355255653834,39.67195793821343
67,rock,0f69648e-04c6-3082-9cd2-f973cb191781,169,181,184,137.0,173.0,182.0,59.108096551288135,61.664956982000206,64.36889318341822
68,electronic,9c24605d-c777-4e41-8cdf-e246b49ae643,255,255,255,29.0,46.0,68.0,93.2434562440626,94.53897660871256,98.20803729878006
69,electronic,73432ed1-f2c5-47cb-8bcd-cf4970a73bad,254,0,255,100.0,87.0,117.0,90.44861690146732,97.76778132805234,99.7209753060104
70,pop,b32b3292-55db-4883-adaf-786171f381a1,0,218,0,125.0,155.0,145.0,86.27953843381175,88.0410620430568,81.57240860043547
71,pop,3447c003-0b5d-34a2-bf89-23a1b8c7ba43,2,2,0,33.0,28.0,21.0,72.44490462848577,74.26679235588138,75.16929004051279
72,hip-hop,44829ec0-a5e9-435f-bbea-ee6ba5c75642,23,20,31,30.0,25.0,35.0,67.2250195366161,68.11818660542325,71.05612578549731
73,rock,5c05047d-aa78-39b1-8a95-9a302b056110,155,151,152,115.0,111.0,111.0,39.542983256845154,38.30380932500494,39.75438347048536
74,electronic,4d7cc51a-28fe-4f4c-8b5a-f91a12ee00e3,26,29,35,33.0,39.0,46.0,64.64621226534157,70.634302500756,72.37376914151977
75,electronic,8fbf22dc-2393-405b-a6d1-71a7e87cfd08,255,255,255,254.0,254.0,255.0,55.18418300784369,54.227214773429914,43.85141554948227
76,hip-hop,1193941c-de68-3299-95b9-87b0922e27b0,33,11,15,66.0,57.0,53.0,76.9542085545539,86.27925964830658,84.0944656726074
77,rock,466c6528-69ca-4536-b12b-ada285318dd6,0,179,194,77.0,148.0,195.0,72.8597825436833,64.04150267906451,54.61382968181682
78,pop,7ed462e2-6bab-4a60-8875-41f217b699dc,0,19,210,96.0,121.0,151.0,63.58709990358183,59.538328649325855,69.40007005925581
79,hip-hop,99ffd1a9-45bf-4f5c-92e2-a4b22e0ba85c,255,255,255,58.0,100.0,130.0,91.19792837899459,85.74477845460392,84.21824683806226
80,hip-hop,e00f79af-9ab5-44b4-87d6-0edcf919339f,22,25,0,25.0,27.0,2.0,30.490624819877738,34.97614953466639,20.388697217821445
81,pop,823d0afc-b1ff-4be2-b995-47565a417005,3,4,4,23.0,24.0,32.0,63.153127836710794,75.79688957583038,81.40690704994273
82,hip-hop,e4345f70-efb0-4d01-9add-6f8ca578ed4a,233,221,212,223.0,204.0,198.0,76.26085371970665,71.53812215561435,69.08933687155655
83,rock,6aa63fe8-aa2d-4cdc-afe4-1f84803b496b,20,19,33,28.0,26.0,42.0,72.78399684027241,71.86580129217512,76.81926265936627
84,country,9c89067f-9d3d-4880-9a97-13688886e4c5,183,225,236,156.0,195.0,224.0,46.538200760624854,42.74246517060166,36.24091600994655
85,country,7e1cceaf-cfe8-44a5-bc4e-35505940e8f6,19,17,16,30.0,28.0,31.0,58.19331420230596,61.03657046894441,62.545778342453644
86,rock,d17140f6-62b7-4fc6-a066-907be5f6e70c,24,24,28,50.0,72.0,88.0,67.0470052927006,74.7170052369393,78.66145365762614
87,country,9b125676-b2fc-4eaa-baf0-366fbbca2c2b,0,0,255,148.0,97.0,147.0,89.1945124944332,90.10124994262586,96.6214545331331
88,electronic,49ebe9c7-570e-4d87-ad3a-e54d4ad85b30,21,19,19,61.0,39.0,69.0,49.371682260692886,31.197151620646395,59.47652079754981
89,hip-hop,9eeaa399-0c9b-411c-8e93-2c96551760e4,19,26,188,19.0,26.0,187.0,31.61717388210376,30.638101817400894,41.9771627392991
90,rock,a9fbae55-7780-4868-9363-2caebfaea5ba,53,55,54,68.0,85.0,65.0,43.005857367530766,48.55121860413492,35.18809964419926
91,electronic,4157e946-dc6d-44bf-b9b5-ecfef34ed73c,255,255,255,255.0,255.0,255.0,54.52806887638607,57.35379320140965,49.09027576732076
92,country,336917ad-16ee-40ec-91a2-7c0cb654051b,18,14,13,36.0,25.0,25.0,27.580174601071693,34.51880399420003,58.31397959734307
93,pop,60e1752d-8eb1-4b53-a2f1-0f3c4226e25d,202,185,255,133.0,125.0,116.0,62.78950342594839,61.890901464800905,61.79110666949852
94,pop,920c4420-eb2e-4309-8ad9-b1c15109e86f,30,31,240,127.0,152.0,161.0,76.65965569768713,76.95697909906018,84.63627038392193
95,pop,c98a6b0b-dc91-431c-9be1-bbbc74833642,43,132,234,91.0,117.0,125.0,53.47015300863853,58.63315672025364,65.18449589128494
96,rock,954f8d9c-b667-4f3b-a6e0-1e00da7e2371,0,0,255,87.0,188.0,242.0,48.014503074364356,87.27631019212524,99.34990670315224
97,pop,9fe82bfa-ef73-4338-b476-df8d86a51e57,23,19,0,42.0,29.0,18.0,51.27310392629633,47.429708312959455,45.668283077131946
98,rock,77f32a9c-8080-497b-b0d9-f93e21a5f93c,119,44,0,101.0,52.0,176.0,32.94255331384767,55.50407709611884,80.29837555979414
99,rock,662ca343-80a2-4913-9cb3-01b09107bd90,32,29,31,32.0,37.0,48.0,56.184010188539446,69.39017436177708,82.1556123867263
100,electronic,fb65572a-f91c-43b2-aa8c-e835d2f4d740,221,221,221,221.0,221.0,221.0,46.362670890497064,46.362670890497064,46.362670890497064
101,country,a9e929ac-5a2b-4e7b-9718-adc2cbe17f99,61,46,240,111.0,50.0,238.0,68.3095282522307,81.99755379876657,79.69850262209938
102,pop,f6b46dc2-2be1-46c4-b50e-e1ff9300e83a,1,1,1,1.0,2.0,2.0,64.9887706790219,74.17916772394794,89.52287595595764
103,country,b4a7df4f-2a4c-4554-b24e-98e190f60345,0,178,255,107.0,158.0,169.0,55.93484977297413,52.85796928422264,57.736288192945544
104,rock,708d027e-cd22-3470-a60e-1aec146a18a1,46,49,54,54.0,58.0,74.0,18.40843349689962,20.32380861909657,56.19387871124527
105,pop,22384986-46ce-4582-b388-bd90571a547c,92,113,104,97.0,120.0,107.0,33.07553614778004,35.43871995662055,31.711782599633214
106,pop,89992355-8ae5-4b7f-b4dd-7cd0650b3580,15,12,1,133.0,110.5,169.0,86.61092674111589,92.11118114577415,101.73973922923106
107,hip-hop,6c41a584-37e5-4710-aa5d-1f75c50d61f0,0,255,0,139.0,160.0,178.0,68.59628187003725,69.97197766597836,80.3848240965797
108,country,5965201a-bf72-40da-a28c-610d53213bd7,0,193,158,80.0,122.0,153.0,59.376465373223425,74.77860714295223,69.77853871499907
109,pop,afdcccfe-5188-4718-b238-a6145487afba,186,180,255,135.0,157.0,194.0,61.26682396773562,57.244099276735376,58.370468293144135
110,pop,566eb3d5-5884-4965-8cc1-40f5d64fcfc3,15,13,12,15.0,14.0,14.0,45.871125923375196,56.71898766335577,78.19033890476639
111,rock,1fc32de4-cedd-4569-9e71-372d469d96e6,255,255,255,255.0,255.0,255.0,93.28234623839818,82.52790393166867,75.553008029665
112,hip-hop,1e4a9a21-7599-4d23-9193-d28bced2fb6b,21,146,122,129.0,136.0,118.0,65.26845995003711,68.2310746677261,60.19800927956326
113,hip-hop,707c7c8a-b092-4af9-abf4-2332471cb426,0,10,227,102.0,143.0,161.0,76.18550433000871,79.13620378616666,82.0529630675333
114,rock,87a51f1d-f8c2-4fa7-801c-1865e8f80cc3,255,255,255,232.0,206.0,198.0,60.927150303904945,68.28520352839564,67.69177020946827
115,electronic,302b15bf-5f05-4e56-8d9b-be73c4c13edf,23,19,25,34.0,25.0,27.0,65.40891961923187,52.39572084391304,52.33072070127282
116,pop,6bb236f1-4c11-3308-bae0-804a90ae347b,18,19,255,88.0,163.0,195.0,88.85393859640888,76.80369482558442,75.97277574968297
117,rock,d8e9e0f9-7ced-4176-a935-cfac17409d10,17,17,0,46.0,42.0,25.0,69.82636145738554,68.24022719707267,70.05449615080819
118,pop,f06c5dc0-e7c4-4511-b30a-b09d78c0c625,206,147,165,150.0,117.0,123.0,59.98276252150458,57.91327321431605,60.1346617056341
119,electronic,9577d663-00f4-4ecc-a38c-0c5c1b62bb30,255,255,255,255.0,255.0,255.0,60.875552581521596,62.55073460235351,62.34428810045019
120,electronic,96316bce-982a-495d-9921-2494acd756f3,10,10,10,27.0,38.0,46.0,40.62026275479271,51.288619255840224,44.97762779632007
121,electronic,dbe0fa62-eb1e-4861-8818-48bda443cd39,37,98,216,38.0,80.0,199.0,23.998012658986244,34.45922913147095,61.09477801194588
122,electronic,7992c871-d621-446e-a364-c8c0aec3f769,0,0,0,0.0,0.0,0.0,38.050303366864256,38.050303366864256,38.050303366864256
123,country,01bbbb06-115a-4993-b28e-9e30dea19184,246,247,247,228.0,233.0,236.0,99.18477523927058,95.02422156408554,91.68388303377827
124,country,8d98da87-6191-4bc5-83d9-800ff42a7b27,31,28,30,55.0,51.0,58.0,62.25554748986715,63.4887831236377,60.92899607262212
125,hip-hop,47a57cb6-e676-4502-985c-2d9c475ac9ec,42,51,149,42.0,51.0,149.0,21.121069012717705,23.10747714881536,63.62615780301231
126,pop,a6a37a40-793d-4528-9a2c-4e8c7169e4c7,0,9,163,130.0,113.0,153.0,87.54452246750785,68.07298349453723,79.2227277502446
127,hip-hop,669e7e2a-e1f9-49f9-972b-0e96ccf60ddc,0,0,255,18.0,38.0,146.0,79.20076232903055,84.6647856856084,98.36948797504103
128,country,637df077-d40a-4e72-bc02-9ace96cd3564,2,2,2,98.0,110.0,194.0,96.39745720746878,95.11663520854752,95.7970801680281
129,hip-hop,2f46bec5-6923-454a-ad19-1f1d4c6e5b02,179,188,208,97.0,122.0,159.0,50.57896144618171,52.51332801849664,56.67241368942614
130,electronic,eefa6f79-d77c-4030-a6ac-52b8e751d38d,20,16,15,26.0,24.0,24.0,76.97669670429876,78.60857669492904,80.29301295543557
131,rock,691e8098-5ca0-4a6a-af1f-256d2fc79d10,67,36,201,62.0,105.0,172.0,11.971030279566751,53.540932168093754,56.754235420560455
132,electronic,3e15d970-158a-4dda-9d00-d31b20a9eb7f,112,140,169,108.0,138.0,166.0,42.33632544799778,50.80513206784621,59.90016899049872
133,electronic,97b97ec9-8b73-3a0d-aa3c-bd5ae117453e,148,142,138,130.0,127.0,122.0,50.988040927674156,48.61526312517351,47.16567995649379
134,hip-hop,71330c9f-b5d1-4204-9fa0-c0cc63d4054e,0,0,0,13.0,20.0,66.0,84.12952712351154,89.27699263175023,93.9200806722917
135,hip-hop,f4de3bd7-a7f7-4da8-b3e8-927270c38257,0,0,0,116.0,115.0,121.0,52.56470522604292,46.13405919113054,49.169428468003
136,pop,d1f89730-eb6e-431f-84a0-6ca631345b2e,217,214,210,216.0,212.0,205.0,37.66140982606764,35.49724028913369,46.51125526472902
137,pop,2531f259-9f0e-4424-9c5b-e2275bd42239,25,24,24,39.0,50.0,77.0,74.0714577429093,78.61145327097155,82.80303466320785
138,hip-hop,06936d3f-551a-4f49-a717-148f5471ddee,3,3,2,17.0,21.0,27.0,79.85238434503665,81.7170895625703,81.81091231166816
139,country,464721f0-91a9-42fc-b286-904106fce287,28,28,231,110.0,140.0,189.0,69.74876305295744,74.61500787694217,73.08708691487392
140,country,bb572612-98ed-4cea-8893-2cdc5dee7c81,16,17,255,41.0,119.0,165.0,73.91762453915184,88.41350051641109,94.76790543523865
141,electronic,85a9de98-ebe4-4134-81ed-ccd8d4b5cfeb,60,101,108,58.0,99.0,105.0,24.080337660770123,39.249322460419414,42.92701358119383
142,hip-hop,40cc2ee1-0dcc-49f2-aa88-881cfc64c4be,15,20,13,17.0,24.0,15.0,84.53603781876735,48.21034381210738,38.67981565783912
143,rock,1dde490b-06ba-41f0-b9c9-32283416ccda,0,0,7,19.0,10.0,114.0,14.428059463515389,54.98768030670085,63.70108142189349
144,country,e52596cc-dcd4-4aba-99b1-f600f13cb0c2,42,84,198,59.0,110.0,141.0,46.83603973307717,47.402698158937916,50.34687763280515
145,rock,1dacf76b-e450-4945-b877-c7db83bbadce,0,0,0,39.0,35.0,125.0,80.1283686625305,76.89153066707932,102.73214152711226
146,electronic,31d4a361-ee0a-44f2-8db8-b0ffc8179d2e,252,250,249,196.0,132.0,69.0,45.99902431672029,65.32179967264784,79.78289211973113
147,electronic,bc95cda3-9bc0-4a75-b895-1cd12a0810c8,108,171,186,116.0,175.0,189.0,37.0273022959083,35.271858259147955,35.736957223911276
148,rock,15ad6386-d33b-480d-aca2-39b22526de23,0,0,255,28.0,44.0,85.0,55.07180850997446,73.0623274705613,93.94146745878521
149,rock,647bdfce-8294-480a-b8fe-b331161e97de,20,9,12,34.0,35.0,33.0,91.06481797477478,98.70771333215859,105.10463687190209
150,rock,960e5cd6-b869-455b-9a86-115343f333c3,46,47,44,58.0,61.0,61.0,55.344915435906124,56.54980362803238,69.26277397124652
151,country,f03e1045-590b-3853-8b75-0fc0e6698187,225,235,255,224.0,234.0,243.0,55.10681797184215,53.19979544283019,26.89311157644827
152,pop,c6ee44b4-b822-40a3-b550-a9dda17802cf,38,37,41,45.0,38.0,86.0,54.82226267776623,85.56388090233168,99.29262081629962
153,pop,9b859598-af45-3927-9d2a-a8581d143b4f,3,2,4,11.0,15.0,50.0,21.649901465285613,39.23474189199139,58.10926949626458
154,rock,45090fb9-77ab-3a0f-b6fd-37f6db33c2aa,63,51,39,70.0,97.0,76.0,54.36452042756061,56.99580383313846,82.0959019346906
155,electronic,5c3608b9-c1a6-3279-aade-3a408d8ed9b5,24,20,18,49.0,36.0,75.0,52.49090601426971,64.5881964183406,71.94057174618227
156,country,61fccb9b-a912-4875-8c86-d889518179c9,255,130,47,211.0,146.0,77.0,48.716317817794895,49.368647715491505,63.608807803825286
157,rock,1a7189e6-b410-49d5-b064-69b173f0aeeb,23,27,27,45.0,58.0,89.0,67.57826664823833,72.40728306262945,80.45201955224104
158,rock,3a8c1b8b-30fa-33c3-9ef8-ec9f542f9491,54,20,13,94.0,49.0,48.0,52.49647622974708,43.64585545004263,55.12909573365136
159,pop,74ef9d9e-298b-460a-8730-5222f4eb2374,237,235,232,230.0,228.0,225.0,50.51204443029025,49.271973514335954,48.02463238775768
160,country,efe4802f-5faf-39b2-8e62-ea01b9906460,25,19,35,31.0,28.0,43.0,46.107517020737355,49.88440928090234,50.198416824839256
161,electronic,49133b41-e394-34cd-91b0-3795f9208bf3,255,255,255,86.0,129.0,142.0,64.53170247967999,64.96806085343832,73.31137229321149
162,country,d9de29b5-24cb-4343-8ce4-a68c2c378423,20,13,13,26.0,19.0,21.0,71.76050911127929,80.83008572760971,92.84727133476602
163,rock,6eb585f4-b80c-452a-9bc5-149ad3b90e78,0,0,0,0.0,0.0,8.0,36.70814149125701,47.63672533850983,101.36348259776989
164,electronic,daf41569-527f-4ab1-8cda-d28a438873cc,255,252,254,133.0,149.0,158.0,73.30686577115407,68.19825644845581,62.75982624554712
165,rock,737fe3c1-8b60-42d6-924f-056510d7e642,69,227,43,122.0,158.0,96.0,61.24227121041727,56.25925906397217,73.31965230622022
166,country,4006541b-afd8-4687-ae31-7195d9d92e91,0,22,25,45.0,94.0,138.0,61.164320255628255,67.57414597069727,80.92150971799772
167,rock,ec1da0fc-d7f4-417f-abaf-19c3919f5b85,255,45,27,142.0,94.0,42.0,64.18120897618941,62.67231372626493,55.90066516734498
168,electronic,b5d8192f-6924-4e2c-952b-b10b69eb2cfa,0,0,0,1.0,28.0,31.0,88.4876450901805,94.10592075958121,97.71383064153946
169,country,04342860-0351-47fd-9a9a-00cf59b9c579,155,158,175,139.0,133.0,119.0,40.25862312918235,48.364035015416164,64.66497582556035
170,rock,576deb93-2d48-4304-b649-4202223f317b,250,246,254,248.0,244.0,250.0,70.52310634065792,71.16913570446323,72.25662187783362
171,rock,3553a37d-92cd-3d5a-bd6f-0191713daa91,19,27,41,53.0,89.0,98.0,61.3884114076211,67.86418054315617,62.107441463684985
172,country,18116341-4a97-4bf5-8a21-f40dbf3904dc,164,228,228,135.0,194.0,195.0,45.553946970804446,60.99535899811066,57.8576725094857
173,electronic,5bc069ce-749a-4c88-a3d6-bbb9fa9642c2,15,15,15,16.0,16.0,16.0,62.80951752878718,62.80951752878718,62.80951752878718
174,country,f123a7bf-01c9-458f-8fa9-6cf087d3aadf,0,0,255,50.0,85.0,180.0,41.672415919905575,50.06041488636769,52.592047602275386
175,country,a748a984-1790-48bf-9f92-15d5f8152fe2,31,19,39,37.0,48.0,58.0,39.69199276701254,43.20398526041245,58.79252926224896
176,country,1a806523-6e3f-4ece-ac10-d470fc1d09bf,178,231,239,163.0,185.0,188.0,58.526968597118234,59.34195175002589,62.547999098212564
177,hip-hop,4280a2de-5ed0-357a-909e-92fed90dce09,12,12,12,32.0,34.0,41.0,64.55920549895217,64.26229027049577,69.97417109353776
178,hip-hop,46763006-00e6-4fd4-8788-5e75f5e7f170,254,254,254,254.0,254.0,254.0,77.84203211679983,83.52052278911773,82.28857580030473
179,rock,d4cccd1c-61fb-4939-aa53-49798314724e,255,255,255,246.0,248.0,248.0,105.86485904864477,106.11238374550635,102.5393746447181
180,pop,e90554b3-6ad4-4359-b917-85a22fcc0753,255,140,0,242.0,141.0,15.0,23.536082756577482,31.69500275286917,57.37022145597571
181,country,d24e7761-a7c4-48f6-bd0a-8fa892147191,2,2,4,4.0,6.0,7.0,85.15621942931945,85.15772470673141,84.77847709721198
182,electronic,a65038f6-3936-4681-ade5-6f32cfa9487d,0,255,255,54.0,115.0,182.0,45.8451812973436,78.1129114872993,67.814498885094
183,hip-hop,f954f852-11e3-46be-ad30-fd3de8e8a5e4,17,14,20,91.0,100.0,129.0,61.68353904806163,66.68887006332123,67.91644515811751
184,electronic,e50d6802-fa4c-474f-a003-1d00b89f73c3,0,0,0,11.0,25.0,43.0,51.14433541838627,50.004957172561845,60.48543359064812
185,hip-hop,2825df2f-bd7b-47d9-9a51-79e9b3b21ba2,10,14,12,15.0,19.0,14.0,49.032553659216404,49.33110219078524,61.28092211796751
